ad_account_id,image_id,game_id,budget_mode,daily_budget,expand_enabled,expand_targeting,site_set,deep_link_url,adcreative_template_id,page_spec,link_page_spec,link_name_type,link_page_type,promoted_object_id,profile_id,promoted_object_type,automatic_site_enabled,label,adcreative_elements,optimization_goal,bid_strategy,bid_amount,deep_conversion_type,deep_conversion_behavior_spec,deep_conversion_worth_spec,time_series,targeting,op_id,flag,game_name,platform
8510,33634,1001832,0,0,False,[],['SITE_SET_MOMENTS'],,1480,"{'override_canvas_head_option': 'OPTION_CREATIVE_OVERRIDE_CANVAS', 'page_id': '2268166449'}",{'page_id': '2268166449'},DOWNLOAD_GAME,LINK_PAGE_TYPE_CANVAS_WECHAT,2000001805,549586,PROMOTED_OBJECT_TYPE_APP_ANDROID,False,,"{'short_video_struct': {'short_video1': 91443}, 'title': '沦落荒岛，你该如何扩充人口，是发展成部落还是走向强国！'}",OPTIMIZATIONGOAL_APP_PURCHASE,BID_STRATEGY_TARGET_COST,98899,,,,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,"{'device_price': None, 'app_install_status': None, 'gender': ['MALE'], 'game_consumption_level': None, 'age': [{'min': 22, 'max': 60}], 'network_type': None, 'excluded_converted_audience': {'conversion_behavior_list': None, 'excluded_dimension': None}, 'geo_location': {'regions': [710000, 540000, 630000, 510000, 450000, 320000, 220000, 370000, 340000, 150000, 140000, 420700, 422800, 421100, 420200, 420800, 421000, 429005, 429021, 420300, 421300, 429006, 429004, 421200, 420600, 420900, 420500, 130000, 360000, 310000, 330000, 820000, 650000, 350000, 120000, 110000, 640000, 530000, 210000, 610000, 520000, 810000, 230000, 460000, 440000, 500000, 410000, 620000, 430000], 'location_types': ['LIVE_IN']}, 'intention': {'targeting_tags': None}, 'interest': {'category_id_list': None, 'keyword_list': None}, 'behavior': [{'category_id_list': None, 'intensity': None, 'keyword_list': None, 'scene': None, 'time_window': None}]}",13268,GDT,亚洲王朝,1
8513,33634,1001832,0,0,False,[],['SITE_SET_MOMENTS'],,1480,"{'override_canvas_head_option': 'OPTION_CREATIVE_OVERRIDE_CANVAS', 'page_id': '2268166449'}",{'page_id': '2268166449'},DOWNLOAD_GAME,LINK_PAGE_TYPE_CANVAS_WECHAT,2000001805,549564,PROMOTED_OBJECT_TYPE_APP_ANDROID,False,,"{'short_video_struct': {'short_video1': 91443}, 'title': '沦落荒岛，你该如何扩充人口，是发展成部落还是走向强国！'}",OPTIMIZATIONGOAL_FIRST_PURCHASE,BID_STRATEGY_TARGET_COST,218171,,,,111111111111111111111111111111111111111111000000111111111111111111111111111111111111111111000000111111111111111111111111111111111111111111000000111111111111111111111111111111111111111111000000111111111111111111111111111111111111111111000000111111111111111111111111111111111111111111000000111111111111111111111111111111111111111111000000,"{'device_price': ['PRICE_4500_MORE', 'PRICE_3500_4500', 'PRICE_2500_3500'], 'app_install_status': ['NOT_INSTALLED'], 'gender': ['MALE'], 'game_consumption_level': None, 'age': [{'min': 25, 'max': 50}], 'network_type': None, 'excluded_converted_audience': {'conversion_behavior_list': ['OPTIMIZATIONGOAL_APP_ACTIVATE'], 'excluded_dimension': 'EXCLUDED_DIMENSION_APP'}, 'geo_location': {'regions': [710000, 540000, 630000, 510000, 450000, 320000, 220000, 370000, 340000, 150000, 140000, 420700, 422800, 421100, 420200, 420800, 421000, 429005, 429021, 420300, 421300, 429006, 429004, 421200, 420600, 420900, 420500, 130000, 360000, 310000, 330000, 820000, 650000, 350000, 120000, 110000, 640000, 530000, 210000, 610000, 520000, 810000, 230000, 460000, 440000, 500000, 410000, 620000, 430000], 'location_types': ['LIVE_IN']}, 'intention': {'targeting_tags': None}, 'interest': {'category_id_list': None, 'keyword_list': None}, 'behavior': [{'category_id_list': None, 'intensity': None, 'keyword_list': None, 'scene': None, 'time_window': None}]}",13268,GDT,亚洲王朝,1
8513,38837,1001832,0,0,True,['age'],['SITE_SET_MOMENTS'],,1480,"{'override_canvas_head_option': 'OPTION_CREATIVE_OVERRIDE_CANVAS', 'page_id': '2268166449'}",{'page_id': '2268166449'},DOWNLOAD_GAME,LINK_PAGE_TYPE_CANVAS_WECHAT,2000001805,549564,PROMOTED_OBJECT_TYPE_APP_ANDROID,False,,"{'short_video_struct': {'short_video1': 114748}, 'title': '开局一座岛，种田造房，白手起家，几天你能称霸全服？'}",OPTIMIZATIONGOAL_APP_PURCHASE,BID_STRATEGY_TARGET_COST,98899,,,,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,"{'device_price': ['PRICE_1500_2500', 'PRICE_2500_3500', 'PRICE_3500_4500', 'PRICE_4500_MORE'], 'app_install_status': ['NOT_INSTALLED'], 'gender': ['MALE'], 'game_consumption_level': ['HIGH'], 'age': [{'min': 23, 'max': 52}], 'network_type': None, 'excluded_converted_audience': {'conversion_behavior_list': None, 'excluded_dimension': None}, 'geo_location': {'regions': [710000, 540000, 630000, 510000, 450000, 320000, 220000, 370000, 340000, 150000, 140000, 420700, 422800, 421100, 420200, 420800, 421000, 429005, 429021, 420300, 421300, 429006, 429004, 421200, 420600, 420900, 420500, 130000, 360000, 310000, 330000, 820000, 650000, 350000, 120000, 110000, 640000, 530000, 210000, 610000, 520000, 810000, 230000, 460000, 440000, 500000, 410000, 620000, 430000], 'location_types': ['LIVE_IN']}, 'intention': {'targeting_tags': [205]}, 'interest': {'category_id_list': [205], 'keyword_list': None}, 'behavior': [{'category_id_list': [205], 'intensity': ['BEHAVIOR_INTEREST_INTENSITY_HIGH'], 'keyword_list': None, 'scene': ['BEHAVIOR_INTEREST_SCENE_APP'], 'time_window': 'BEHAVIOR_INTEREST_TIME_WINDOW_THREE_MONTH'}]}",13268,GDT,亚洲王朝,1
8500,38837,1001832,0,0,False,[],['SITE_SET_MOMENTS'],,1480,"{'override_canvas_head_option': 'OPTION_CREATIVE_OVERRIDE_CANVAS', 'page_id': '2268166449'}",{'page_id': '2268166449'},DOWNLOAD_GAME,LINK_PAGE_TYPE_CANVAS_WECHAT,2000001805,549423,PROMOTED_OBJECT_TYPE_APP_ANDROID,False,,"{'short_video_struct': {'short_video1': 114748}, 'title': '开局一座岛，种田造房，白手起家，几天你能称霸全服？'}",OPTIMIZATIONGOAL_APP_PURCHASE,BID_STRATEGY_TARGET_COST,108899,,,,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,"{'device_price': ['PRICE_2500_3500', 'PRICE_3500_4500', 'PRICE_4500_MORE'], 'app_install_status': ['NOT_INSTALLED'], 'gender': ['MALE'], 'game_consumption_level': ['HIGH'], 'age': [{'min': 25, 'max': 55}], 'network_type': None, 'excluded_converted_audience': {'conversion_behavior_list': ['OPTIMIZATIONGOAL_APP_ACTIVATE'], 'excluded_dimension': 'EXCLUDED_DIMENSION_APP'}, 'geo_location': {'regions': [710000, 540000, 630000, 510000, 450000, 320000, 220000, 370000, 340000, 150000, 140000, 420700, 422800, 421100, 420200, 420800, 421000, 429005, 429021, 420300, 421300, 429006, 429004, 421200, 420600, 420900, 420500, 130000, 360000, 310000, 330000, 820000, 650000, 350000, 120000, 110000, 640000, 530000, 210000, 610000, 520000, 810000, 230000, 460000, 440000, 500000, 410000, 620000, 430000], 'location_types': ['LIVE_IN']}, 'intention': {'targeting_tags': None}, 'interest': {'category_id_list': None, 'keyword_list': None}, 'behavior': [{'category_id_list': None, 'intensity': None, 'keyword_list': None, 'scene': None, 'time_window': None}]}",13268,GDT,亚洲王朝,1
8500,38878,1001832,0,0,False,[],['SITE_SET_MOMENTS'],,1480,"{'override_canvas_head_option': 'OPTION_CREATIVE_OVERRIDE_CANVAS', 'page_id': '2268166449'}",{'page_id': '2268166449'},DOWNLOAD_GAME,LINK_PAGE_TYPE_CANVAS_WECHAT,2000001805,549423,PROMOTED_OBJECT_TYPE_APP_ANDROID,False,,"{'short_video_struct': {'short_video1': 114899}, 'title': '沦落荒岛，你该如何扩充人口，是发展成部落还是走向强国！'}",OPTIMIZATIONGOAL_APP_PURCHASE,BID_STRATEGY_TARGET_COST,108899,,,,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,"{'device_price': ['PRICE_1500_2500', 'PRICE_2500_3500', 'PRICE_3500_4500', 'PRICE_4500_MORE'], 'app_install_status': ['NOT_INSTALLED'], 'gender': ['MALE'], 'game_consumption_level': ['HIGH'], 'age': [{'min': 23, 'max': 52}], 'network_type': None, 'excluded_converted_audience': {'conversion_behavior_list': None, 'excluded_dimension': None}, 'geo_location': {'regions': [710000, 540000, 630000, 510000, 450000, 320000, 220000, 370000, 340000, 150000, 140000, 420700, 422800, 421100, 420200, 420800, 421000, 429005, 429021, 420300, 421300, 429006, 429004, 421200, 420600, 420900, 420500, 130000, 360000, 310000, 330000, 820000, 650000, 350000, 120000, 110000, 640000, 530000, 210000, 610000, 520000, 810000, 230000, 460000, 440000, 500000, 410000, 620000, 430000], 'location_types': ['LIVE_IN']}, 'intention': {'targeting_tags': [205]}, 'interest': {'category_id_list': [205], 'keyword_list': None}, 'behavior': [{'category_id_list': [205], 'intensity': ['BEHAVIOR_INTEREST_INTENSITY_HIGH'], 'keyword_list': None, 'scene': ['BEHAVIOR_INTEREST_SCENE_APP'], 'time_window': 'BEHAVIOR_INTEREST_TIME_WINDOW_THREE_MONTH'}]}",13268,GDT,亚洲王朝,1
8505,33022,1001832,0,0,True,['age'],['SITE_SET_MOMENTS'],,1480,"{'override_canvas_head_option': 'OPTION_CREATIVE_OVERRIDE_CANVAS', 'page_id': '2268166449'}",{'page_id': '2268166449'},DOWNLOAD_GAME,LINK_PAGE_TYPE_CANVAS_WECHAT,2000001805,549465,PROMOTED_OBJECT_TYPE_APP_ANDROID,False,,"{'short_video_struct': {'short_video1': 109552}, 'title': '开局一座岛，种田造房，白手起家，几天你能称霸全服？'}",OPTIMIZATIONGOAL_APP_PURCHASE,BID_STRATEGY_TARGET_COST,98899,,,,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,"{'device_price': None, 'app_install_status': ['NOT_INSTALLED'], 'gender': ['MALE'], 'game_consumption_level': None, 'age': [{'min': 21, 'max': 56}], 'network_type': None, 'excluded_converted_audience': {'conversion_behavior_list': None, 'excluded_dimension': None}, 'geo_location': {'regions': [710000, 540000, 630000, 510000, 450000, 320000, 220000, 370000, 340000, 150000, 140000, 420700, 422800, 421100, 420200, 420800, 421000, 429005, 429021, 420300, 421300, 429006, 429004, 421200, 420600, 420900, 420500, 130000, 360000, 310000, 330000, 820000, 650000, 350000, 120000, 110000, 640000, 530000, 210000, 610000, 520000, 810000, 230000, 460000, 440000, 500000, 410000, 620000, 430000], 'location_types': ['LIVE_IN']}, 'intention': {'targeting_tags': [61, 197, 124, 157, 203, 301, 57, 228, 83, 156, 286, 307, 250, 245, 183, 205]}, 'interest': {'category_id_list': [197, 124, 157, 301, 228, 83, 286, 307, 250, 245, 205, 164, 16], 'keyword_list': None}, 'behavior': [{'category_id_list': [61, 197, 124, 157, 203, 301, 57, 228, 83, 156, 286, 307, 250, 245, 183, 205, 164, 16], 'intensity': ['BEHAVIOR_INTEREST_INTENSITY_ALL'], 'keyword_list': None, 'scene': ['BEHAVIOR_INTEREST_SCENE_APP'], 'time_window': 'BEHAVIOR_INTEREST_TIME_WINDOW_THREE_MONTH'}]}",13268,GDT,亚洲王朝,1
8508,33022,1001832,0,0,False,[],['SITE_SET_MOMENTS'],,1480,"{'override_canvas_head_option': 'OPTION_CREATIVE_OVERRIDE_CANVAS', 'page_id': '2268166449'}",{'page_id': '2268166449'},DOWNLOAD_GAME,LINK_PAGE_TYPE_CANVAS_WECHAT,2000001805,549487,PROMOTED_OBJECT_TYPE_APP_ANDROID,False,,"{'short_video_struct': {'short_video1': 109552}, 'title': '开局一座岛，种田造房，白手起家，几天你能称霸全服？'}",OPTIMIZATIONGOAL_FIRST_PURCHASE,BID_STRATEGY_TARGET_COST,209822,,,,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,"{'device_price': None, 'app_install_status': ['NOT_INSTALLED'], 'gender': ['MALE'], 'game_consumption_level': None, 'age': [{'min': 22, 'max': 62}], 'network_type': None, 'excluded_converted_audience': {'conversion_behavior_list': None, 'excluded_dimension': None}, 'geo_location': {'regions': [710000, 540000, 630000, 510000, 450000, 320000, 220000, 370000, 340000, 150000, 140000, 420700, 422800, 421100, 420200, 420800, 421000, 429005, 429021, 420300, 421300, 429006, 429004, 421200, 420600, 420900, 420500, 130000, 360000, 310000, 330000, 820000, 650000, 350000, 120000, 110000, 640000, 530000, 210000, 610000, 520000, 810000, 230000, 460000, 440000, 500000, 410000, 620000, 430000], 'location_types': ['LIVE_IN']}, 'intention': {'targeting_tags': None}, 'interest': {'category_id_list': None, 'keyword_list': None}, 'behavior': [{'category_id_list': None, 'intensity': None, 'keyword_list': None, 'scene': None, 'time_window': None}]}",13268,GDT,亚洲王朝,1
8511,33022,1001832,0,0,False,[],['SITE_SET_MOMENTS'],,1480,"{'override_canvas_head_option': 'OPTION_CREATIVE_OVERRIDE_CANVAS', 'page_id': '2268166449'}",{'page_id': '2268166449'},DOWNLOAD_GAME,LINK_PAGE_TYPE_CANVAS_WECHAT,2000001805,549578,PROMOTED_OBJECT_TYPE_APP_ANDROID,False,,"{'short_video_struct': {'short_video1': 109552}, 'title': '开局一座岛，种田造房，白手起家，几天你能称霸全服？'}",OPTIMIZATIONGOAL_FIRST_PURCHASE,BID_STRATEGY_TARGET_COST,207145,,,,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,"{'device_price': None, 'app_install_status': ['NOT_INSTALLED'], 'gender': ['MALE'], 'game_consumption_level': None, 'age': [{'min': 22, 'max': 62}], 'network_type': None, 'excluded_converted_audience': {'conversion_behavior_list': None, 'excluded_dimension': None}, 'geo_location': {'regions': [710000, 540000, 630000, 510000, 450000, 320000, 220000, 370000, 340000, 150000, 140000, 420700, 422800, 421100, 420200, 420800, 421000, 429005, 429021, 420300, 421300, 429006, 429004, 421200, 420600, 420900, 420500, 130000, 360000, 310000, 330000, 820000, 650000, 350000, 120000, 110000, 640000, 530000, 210000, 610000, 520000, 810000, 230000, 460000, 440000, 500000, 410000, 620000, 430000], 'location_types': ['LIVE_IN']}, 'intention': {'targeting_tags': None}, 'interest': {'category_id_list': None, 'keyword_list': None}, 'behavior': [{'category_id_list': None, 'intensity': None, 'keyword_list': None, 'scene': None, 'time_window': None}]}",13268,GDT,亚洲王朝,1
8512,33022,1001832,0,0,False,[],['SITE_SET_MOMENTS'],,1480,"{'override_canvas_head_option': 'OPTION_CREATIVE_OVERRIDE_CANVAS', 'page_id': '2268166449'}",{'page_id': '2268166449'},DOWNLOAD_GAME,LINK_PAGE_TYPE_CANVAS_WECHAT,2000001805,549571,PROMOTED_OBJECT_TYPE_APP_ANDROID,False,,"{'short_video_struct': {'short_video1': 109552}, 'title': '开局一座岛，种田造房，白手起家，几天你能称霸全服？'}",OPTIMIZATIONGOAL_FIRST_PURCHASE,BID_STRATEGY_TARGET_COST,215585,,,,111111111111111111111111111111111111111111000000111111111111111111111111111111111111111111000000111111111111111111111111111111111111111111000000111111111111111111111111111111111111111111000000111111111111111111111111111111111111111111000000111111111111111111111111111111111111111111000000111111111111111111111111111111111111111111000000,"{'device_price': None, 'app_install_status': ['NOT_INSTALLED'], 'gender': ['MALE'], 'game_consumption_level': None, 'age': [{'min': 22, 'max': 66}], 'network_type': None, 'excluded_converted_audience': {'conversion_behavior_list': None, 'excluded_dimension': None}, 'geo_location': {'regions': [710000, 540000, 630000, 510000, 450000, 320000, 220000, 370000, 340000, 150000, 140000, 420700, 422800, 421100, 420200, 420800, 421000, 429005, 429021, 420300, 421300, 429006, 429004, 421200, 420600, 420900, 420500, 130000, 360000, 310000, 330000, 820000, 650000, 350000, 120000, 110000, 640000, 530000, 210000, 610000, 520000, 810000, 230000, 460000, 440000, 500000, 410000, 620000, 430000], 'location_types': ['LIVE_IN']}, 'intention': {'targeting_tags': None}, 'interest': {'category_id_list': None, 'keyword_list': None}, 'behavior': [{'category_id_list': None, 'intensity': None, 'keyword_list': None, 'scene': None, 'time_window': None}]}",13268,GDT,亚洲王朝,1
8501,33634,1001832,0,0,False,[],['SITE_SET_MOMENTS'],,1480,"{'override_canvas_head_option': 'OPTION_CREATIVE_OVERRIDE_CANVAS', 'page_id': '2268166449'}",{'page_id': '2268166449'},DOWNLOAD_GAME,LINK_PAGE_TYPE_CANVAS_WECHAT,2000001805,549434,PROMOTED_OBJECT_TYPE_APP_ANDROID,False,,"{'short_video_struct': {'short_video1': 91443}, 'title': '沦落荒岛，你该如何扩充人口，是发展成部落还是走向强国！'}",OPTIMIZATIONGOAL_APP_PURCHASE,BID_STRATEGY_TARGET_COST,98899,,,,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,"{'device_price': ['PRICE_2500_3500', 'PRICE_3500_4500', 'PRICE_4500_MORE'], 'app_install_status': ['NOT_INSTALLED'], 'gender': ['MALE'], 'game_consumption_level': ['HIGH'], 'age': [{'min': 25, 'max': 55}], 'network_type': None, 'excluded_converted_audience': {'conversion_behavior_list': ['OPTIMIZATIONGOAL_APP_ACTIVATE'], 'excluded_dimension': 'EXCLUDED_DIMENSION_APP'}, 'geo_location': {'regions': [710000, 540000, 630000, 510000, 450000, 320000, 220000, 370000, 340000, 150000, 140000, 420700, 422800, 421100, 420200, 420800, 421000, 429005, 429021, 420300, 421300, 429006, 429004, 421200, 420600, 420900, 420500, 130000, 360000, 310000, 330000, 820000, 650000, 350000, 120000, 110000, 640000, 530000, 210000, 610000, 520000, 810000, 230000, 460000, 440000, 500000, 410000, 620000, 430000], 'location_types': ['LIVE_IN']}, 'intention': {'targeting_tags': None}, 'interest': {'category_id_list': None, 'keyword_list': None}, 'behavior': [{'category_id_list': None, 'intensity': None, 'keyword_list': None, 'scene': None, 'time_window': None}]}",13268,GDT,亚洲王朝,1
8512,33634,1001832,0,0,False,[],['SITE_SET_MOMENTS'],,1480,"{'override_canvas_head_option': 'OPTION_CREATIVE_OVERRIDE_CANVAS', 'page_id': '2268166449'}",{'page_id': '2268166449'},DOWNLOAD_GAME,LINK_PAGE_TYPE_CANVAS_WECHAT,2000001805,549571,PROMOTED_OBJECT_TYPE_APP_ANDROID,False,,"{'short_video_struct': {'short_video1': 91443}, 'title': '沦落荒岛，你该如何扩充人口，是发展成部落还是走向强国！'}",OPTIMIZATIONGOAL_APP_PURCHASE,BID_STRATEGY_TARGET_COST,108899,,,,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,"{'device_price': ['PRICE_2500_3500', 'PRICE_3500_4500', 'PRICE_4500_MORE'], 'app_install_status': ['NOT_INSTALLED'], 'gender': ['MALE'], 'game_consumption_level': ['HIGH'], 'age': [{'min': 25, 'max': 55}], 'network_type': None, 'excluded_converted_audience': {'conversion_behavior_list': ['OPTIMIZATIONGOAL_APP_ACTIVATE'], 'excluded_dimension': 'EXCLUDED_DIMENSION_APP'}, 'geo_location': {'regions': [710000, 540000, 630000, 510000, 450000, 320000, 220000, 370000, 340000, 150000, 140000, 420700, 422800, 421100, 420200, 420800, 421000, 429005, 429021, 420300, 421300, 429006, 429004, 421200, 420600, 420900, 420500, 130000, 360000, 310000, 330000, 820000, 650000, 350000, 120000, 110000, 640000, 530000, 210000, 610000, 520000, 810000, 230000, 460000, 440000, 500000, 410000, 620000, 430000], 'location_types': ['LIVE_IN']}, 'intention': {'targeting_tags': None}, 'interest': {'category_id_list': None, 'keyword_list': None}, 'behavior': [{'category_id_list': None, 'intensity': None, 'keyword_list': None, 'scene': None, 'time_window': None}]}",13268,GDT,亚洲王朝,1
8518,38837,1001832,0,0,False,[],['SITE_SET_MOMENTS'],,1480,"{'override_canvas_head_option': 'OPTION_CREATIVE_OVERRIDE_CANVAS', 'page_id': '2268166449'}",{'page_id': '2268166449'},DOWNLOAD_GAME,LINK_PAGE_TYPE_CANVAS_WECHAT,2000001805,549495,PROMOTED_OBJECT_TYPE_APP_ANDROID,False,,"{'short_video_struct': {'short_video1': 114748}, 'title': '开局一座岛，种田造房，白手起家，几天你能称霸全服？'}",OPTIMIZATIONGOAL_APP_PURCHASE,BID_STRATEGY_TARGET_COST,108899,,,,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,"{'device_price': ['PRICE_2500_3500', 'PRICE_3500_4500', 'PRICE_4500_MORE'], 'app_install_status': ['NOT_INSTALLED'], 'gender': ['MALE'], 'game_consumption_level': ['HIGH'], 'age': [{'min': 25, 'max': 55}], 'network_type': None, 'excluded_converted_audience': {'conversion_behavior_list': ['OPTIMIZATIONGOAL_APP_ACTIVATE'], 'excluded_dimension': 'EXCLUDED_DIMENSION_APP'}, 'geo_location': {'regions': [710000, 540000, 630000, 510000, 450000, 320000, 220000, 370000, 340000, 150000, 140000, 420700, 422800, 421100, 420200, 420800, 421000, 429005, 429021, 420300, 421300, 429006, 429004, 421200, 420600, 420900, 420500, 130000, 360000, 310000, 330000, 820000, 650000, 350000, 120000, 110000, 640000, 530000, 210000, 610000, 520000, 810000, 230000, 460000, 440000, 500000, 410000, 620000, 430000], 'location_types': ['LIVE_IN']}, 'intention': {'targeting_tags': None}, 'interest': {'category_id_list': None, 'keyword_list': None}, 'behavior': [{'category_id_list': None, 'intensity': None, 'keyword_list': None, 'scene': None, 'time_window': None}]}",13268,GDT,亚洲王朝,1
8509,33022,1001832,0,0,False,[],['SITE_SET_MOMENTS'],,1480,"{'override_canvas_head_option': 'OPTION_CREATIVE_OVERRIDE_CANVAS', 'page_id': '2268166449'}",{'page_id': '2268166449'},DOWNLOAD_GAME,LINK_PAGE_TYPE_CANVAS_WECHAT,2000001805,549590,PROMOTED_OBJECT_TYPE_APP_ANDROID,False,,"{'short_video_struct': {'short_video1': 109552}, 'title': '这游戏终于出手游了！满满的儿时回忆，老玩家已感动哭！'}",OPTIMIZATIONGOAL_APP_PURCHASE,BID_STRATEGY_TARGET_COST,98899,,,,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,"{'device_price': None, 'app_install_status': ['NOT_INSTALLED'], 'gender': ['MALE'], 'game_consumption_level': None, 'age': [{'min': 22, 'max': 66}], 'network_type': None, 'excluded_converted_audience': {'conversion_behavior_list': None, 'excluded_dimension': None}, 'geo_location': {'regions': [710000, 540000, 630000, 510000, 450000, 320000, 220000, 370000, 340000, 150000, 140000, 420700, 422800, 421100, 420200, 420800, 421000, 429005, 429021, 420300, 421300, 429006, 429004, 421200, 420600, 420900, 420500, 130000, 360000, 310000, 330000, 820000, 650000, 350000, 120000, 110000, 640000, 530000, 210000, 610000, 520000, 810000, 230000, 460000, 440000, 500000, 410000, 620000, 430000], 'location_types': ['LIVE_IN']}, 'intention': {'targeting_tags': None}, 'interest': {'category_id_list': None, 'keyword_list': None}, 'behavior': [{'category_id_list': None, 'intensity': None, 'keyword_list': None, 'scene': None, 'time_window': None}]}",13268,GDT,亚洲王朝,1
8511,33634,1001832,0,0,False,[],['SITE_SET_MOMENTS'],,1480,"{'override_canvas_head_option': 'OPTION_CREATIVE_OVERRIDE_CANVAS', 'page_id': '2268166449'}",{'page_id': '2268166449'},DOWNLOAD_GAME,LINK_PAGE_TYPE_CANVAS_WECHAT,2000001805,549578,PROMOTED_OBJECT_TYPE_APP_ANDROID,False,,"{'short_video_struct': {'short_video1': 91443}, 'title': '沦落荒岛，你该如何扩充人口，是发展成部落还是走向强国！'}",OPTIMIZATIONGOAL_APP_PURCHASE,BID_STRATEGY_TARGET_COST,108899,,,,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,"{'device_price': None, 'app_install_status': ['NOT_INSTALLED'], 'gender': ['MALE'], 'game_consumption_level': ['HIGH'], 'age': [{'min': 25, 'max': 47}], 'network_type': None, 'excluded_converted_audience': {'conversion_behavior_list': None, 'excluded_dimension': None}, 'geo_location': {'regions': [710000, 540000, 630000, 510000, 450000, 320000, 220000, 370000, 340000, 150000, 140000, 420700, 422800, 421100, 420200, 420800, 421000, 429005, 429021, 420300, 421300, 429006, 429004, 421200, 420600, 420900, 420500, 130000, 360000, 310000, 330000, 820000, 650000, 350000, 120000, 110000, 640000, 530000, 210000, 610000, 520000, 810000, 230000, 460000, 440000, 500000, 410000, 620000, 430000], 'location_types': ['LIVE_IN']}, 'intention': {'targeting_tags': None}, 'interest': {'category_id_list': None, 'keyword_list': None}, 'behavior': [{'category_id_list': [205, 164, 16], 'intensity': ['BEHAVIOR_INTEREST_INTENSITY_ALL'], 'keyword_list': None, 'scene': ['BEHAVIOR_INTEREST_SCENE_ALL'], 'time_window': 'BEHAVIOR_INTEREST_TIME_WINDOW_THIRTY_DAY'}]}",13268,GDT,亚洲王朝,1
